TEAM,PLAYER_ID,PLAYER_NAME
,1630563,Joshua Primo
,201950,Jrue Holiday
,1627823,Juancho Hernangomez
,1630577,Julian Champagnie
,203944,Julius Randle
,1630551,Justin Champagnie
,203200,Justin Holiday
,1628382,Justin Jackson
,1626159,Justise Winslow
,203994,Jusuf Nurkic
,1629644,KZ Okpala
,1626157,Karl-Anthony Towns
,202695,Kawhi Leonard
,1631099,Keegan Murray
,1628966,Keita Bates-Diop
,1629640,Keldon Johnson
,1626162,Kelly Oubre Jr.
,1631112,Kendall Brown
,1629134,Kendrick Nunn
,1631113,Kennedy Chandler
,1631254,Kenneth Lofton Jr.
,1629026,Kenrich Williams
,203484,Kentavious Caldwell-Pope
,1630231,Kenyon Martin Jr.
,1631165,Keon Ellis
,1630553,Keon Johnson
,1630556,Kessler Edwards
,201142,Kevin Durant
,1628989,Kevin Huerter
,1628995,Kevin Knox II
,201567,Kevin Love
,1630284,Kevon Harris
,1626172,Kevon Looney
,203920,Khem Birch
,1630165,Killian Hayes
,1630184,Kira Lewis Jr.
,202691,Klay Thompson
,1627739,Kris Dunn
,203937,Kyle Anderson
,202681,Kyrie Irving
,1630163,LaMelo Ball
,1630205,Lamar Stevens
,1629013,Landry Shamet
,1630195,Leandro Bolmaro
,1629623,Lindell Wigginton
,1630322,Lindy Waters III
,1629022,Lonnie Walker IV
,1629652,Luguentz Dort
,1630568,Luka Garza
,1628379,Luke Kennard
,1628436,Luke Kornet
,1630201,Malachi Flynn
,1627763,Malcolm Brogdon
,1630792,Malcolm Hill
,1627736,Malik Beasley
,1628370,Malik Monk
,1629603,Mamadi Diakite
,1630699,MarJon Beauchamp
,202694,Marcus Morris Sr.
,1631109,Mark Williams
,1628365,Markelle Fultz
,202693,Markieff Morris
,1630250,Marko Simonovic
,1628963,Marvin Bagley III
,203486,Mason Plumlee
,1629680,Matisse Thybulle
,1630346,Matt Ryan
,203521,Matthew Dellavedova
,1631108,Max Christie
,1629622,Max Strus
,1628467,Maxi Kleber
,1630593,McKinley Wright IV
,203086,Meyers Leonard
,1629662,Mfiondu Kabengele
,1630695,Micah Potter
